Magic Item	Source	Pg. #	Legal Status	OGL Source
Libram, Destruction	AC4 The Book of Marvelous Magic	47		
Libram, Evaluation	AC4 The Book of Marvelous Magic	47		
Libram, Identification	AC4 The Book of Marvelous Magic	47		
Libram, Legends	AC4 The Book of Marvelous Magic	47		
Libram, Study	AC4 The Book of Marvelous Magic	47		
Log, Burning	AC4 The Book of Marvelous Magic	48		
Log, Combination	AC4 The Book of Marvelous Magic	48		
Log, Floating	AC4 The Book of Marvelous Magic	48		
Log, Ramming	AC4 The Book of Marvelous Magic	48		
Log, ROlling	AC4 The Book of Marvelous Magic	48		
Log, Snoring	AC4 The Book of Marvelous Magic	48		
Lute, Bard Summoning	AC4 The Book of Marvelous Magic	48		
Lute, Cool Hand	Polyhedron #23	23		
Lute, Loot	AC4 The Book of Marvelous Magic	48		
Lute, Singalong	AC4 The Book of Marvelous Magic	48		
Lute, Skywalker	Polyhedron #23	23		
Lute, Woodwalking	AC4 The Book of Marvelous Magic	48		
Marble, Cat's Eye	AC4 The Book of Marvelous Magic	49		
Marble, Granite	AC4 The Book of Marvelous Magic	49		
Marble, Quarry	AC4 The Book of Marvelous Magic	49		
Mask, Air	Champions of Mystara: Designer's Manual	53		
Mask, Comedy	AC4 The Book of Marvelous Magic	49		
Mask, Death	AC4 The Book of Marvelous Magic	49		
Mask, Disguise	AC4 The Book of Marvelous Magic	49		
Mask, Faceless	AC4 The Book of Marvelous Magic	49		
Mask, Protection	AC4 The Book of Marvelous Magic	49		
Mask, Scowling	AC4 The Book of Marvelous Magic	50		
Mask, Smiling	AC4 The Book of Marvelous Magic	50		
Mask, Tragedy	AC4 The Book of Marvelous Magic	50		
Mast, Half	AC4 The Book of Marvelous Magic	50		
Mast, Portable	AC4 The Book of Marvelous Magic	50		
Medallion, Defense	AC4 The Book of Marvelous Magic	50		
Medallion, Empathy	AC4 The Book of Marvelous Magic	50		
Medallion, ESP (30' Range)	Rules Cyclopedia	240	SRD (Medallion of Thoughts)	Dark Dungeons Deluxe
Medallion, ESP (90' Range)	Rules Cyclopedia	240	SRD (Medallion of Thoughts)	Dark Dungeons Deluxe
Medallion, Mirror	AC8 3-D Dragon Tiles featuring The Revenge of Rusak	7		
Medallion, Missile Attraction	AC4 The Book of Marvelous Magic	50		
Medallion, Projection	AC4 The Book of Marvelous Magic	50		
Mirror, Duplication	AC4 The Book of Marvelous Magic	50		
Mirror, Images	AC4 The Book of Marvelous Magic	51		
Mirror, Life Saving	CM2 Death's Ride	27		
Mirror, Reading	AC4 The Book of Marvelous Magic	51		
Mirror, Reversal	AC4 The Book of Marvelous Magic	51		
Mirror, Seeing	AC4 The Book of Marvelous Magic	51		
Mirror, Truth	AC4 The Book of Marvelous Magic	51		
Mirror, Vanity	AC4 The Book of Marvelous Magic	51		
Muzzle, Lycanthrope Control	PC4 Night Howlers - DM's Guide	63		
Muzzle, Mauling	AC4 The Book of Marvelous Magic	51		
Muzzle, Training	Rules Cyclopedia	240		Dark Dungeons Deluxe
Nail, Building	AC4 The Book of Marvelous Magic	51		
Nail, Death	AC4 The Book of Marvelous Magic	51		
Nail, Finger	Rules Cyclopedia	240		Dark Dungeons Deluxe
Nail, Pointing	Rules Cyclopedia	241		Dark Dungeons Deluxe
Nail, Securing	AC4 The Book of Marvelous Magic	51		
Nail, Ten-Penny	AC4 The Book of Marvelous Magic	51		
Necklace, Glittering	AC4 The Book of Marvelous Magic	52		
Necklace, Greed	AC4 The Book of Marvelous Magic	52		
Necklace, Petrification	AC4 The Book of Marvelous Magic	52		
Necklace, Protection	AC4 The Book of Marvelous Magic	52		
Necklace, Strangling	AC4 The Book of Marvelous Magic	52		
Necklace, Ugliness	AC4 The Book of Marvelous Magic	52		
Needle, Death	AC4 The Book of Marvelous Magic	52		
Needle, Repair	AC4 The Book of Marvelous Magic	52		
Net, Drag	AC4 The Book of Marvelous Magic	52		
Net, Hare	AC4 The Book of Marvelous Magic	52		
Net, Landing	AC4 The Book of Marvelous Magic	53		
Net, Profit	AC4 The Book of Marvelous Magic	53		
Net, Snaring	AC4 The Book of Marvelous Magic	53		
Net, Worth	AC4 The Book of Marvelous Magic	53		
Nightcap, Sleep	AC4 The Book of Marvelous Magic	53		
Nightcap, Vision	AC4 The Book of Marvelous Magic	53		
Oar, Ether	AC4 The Book of Marvelous Magic	53		
Oar, Rowing	AC4 The Book of Marvelous Magic	53		
Oil, Dendan	GAZ2 The Emirates of Ylaruam	59		
Oil, Stillness	GAZ9 The Minrothad Guilds - Dungeon Master's Booklet	22		
Ointment	Rules Cyclopedia	241		Dark Dungeons Deluxe
Ointment, Blessing	AC4 The Book of Marvelous Magic	54		
Ointment, Healing	AC4 The Book of Marvelous Magic	54		
Ointment, Poison	AC4 The Book of Marvelous Magic	54		
Ointment, Scarring	AC4 The Book of Marvelous Magic	54		
Ointment, Second Sight	PC1 Tall Tales of the Wee Folk - DM's Booklet	60		
Ointment, Soothing	AC4 The Book of Marvelous Magic	54		
Ointment, Tanning	AC4 The Book of Marvelous Magic	54		
Parchment, Looping	AC4 The Book of Marvelous Magic	54		
Parchment, Self-Protecting	AC4 The Book of Marvelous Magic	54		
Penny, Luck	AC4 The Book of Marvelous Magic	54		
Pie, Four-and-Twenty Blackbirds	Polyhedron #23	23		
Pie, Raspberries	Polyhedron #23	23		
Pie, Rhubarb	Polyhedron #23	23		
Pipe, Aromatic	AC4 The Book of Marvelous Magic	54		
Pipe, Bubble	AC4 The Book of Marvelous Magic	54		
Pipe, Halfling	AC4 The Book of Marvelous Magic	54		
Pipe, Puckering	AC4 The Book of Marvelous Magic	55		
Pipe, Smoking	AC4 The Book of Marvelous Magic	55		
Piper, Water	AC4 The Book of Marvelous Magic	55		
Pipes, Copper	AC4 The Book of Marvelous Magic	55		
Pipes, Gas	AC4 The Book of Marvelous Magic	55		
Pipes, Pan	AC4 The Book of Marvelous Magic	55		
Pipes, Panic	PC1 Tall Tales of the Wee Folk - DM's Booklet	60		
Pipes, Sewer	AC4 The Book of Marvelous Magic	55		
Pipes, Speaking	AC4 The Book of Marvelous Magic	55		
Pitchfork, Penetration	AC4 The Book of Marvelous Magic	55		
Plate, Book	AC4 The Book of Marvelous Magic	56		
Plate, Counterfeiting	AC4 The Book of Marvelous Magic	56		
Plate, Dinner	AC4 The Book of Marvelous Magic	56		
Poker, Draw	AC4 The Book of Marvelous Magic	56		
Poker, Fire Control	AC4 The Book of Marvelous Magic	56		
Poker, Searing	AC4 The Book of Marvelous Magic	56		
Poker, Summoning	AC4 The Book of Marvelous Magic	56		
Pole, Angling	AC4 The Book of Marvelous Magic	56		
Pole, Exaggeration	AC4 The Book of Marvelous Magic	57		
Pole, Levitation	AC4 The Book of Marvelous Magic	57		
Pole, Monster Fishing	AC4 The Book of Marvelous Magic	57		
Pole, Rescue	AC4 The Book of Marvelous Magic	57		
Pole, Treasure Fishing	AC4 The Book of Marvelous Magic	57		
Potion, Animal Control	Rules Cyclopedia	232		Dark Dungeons Deluxe
Potion, Antidote	Rules Cyclopedia	232		Dark Dungeons Deluxe
Potion, Appetite Control	Polyhedron #51	14		
Potion, Blending	Rules Cyclopedia	232		Dark Dungeons Deluxe
Potion, Bug Repellent	Rules Cyclopedia	232		Dark Dungeons Deluxe
Potion, Clairaudience	Rules Cyclopedia	232		Dark Dungeons Deluxe
Potion, Clairvoyance	Rules Cyclopedia	232		Dark Dungeons Deluxe
Potion, Climbing	Rules Cyclopedia	232		Dark Dungeons Deluxe
Potion, Defense	Rules Cyclopedia	232		Dark Dungeons Deluxe
Potion, Delusion	Rules Cyclopedia	232		Dark Dungeons Deluxe
Potion, Diminution	Rules Cyclopedia	232		Dark Dungeons Deluxe
Potion, Dragon Control	Rules Cyclopedia	232		Dark Dungeons Deluxe
Potion, Dreamspeech	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Elasticity	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Elemental Form	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, ESP	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Ethereality	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Fire Resistance	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Flying	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Fortitude	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Freedom	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Gaseous Form	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Giant Control	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Giant Strength	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Growth	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Healing	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Heroism	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Human Control	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Invisibility	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Invulnerability	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Levitation	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Longevity	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Luck	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Merging	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Plant Control	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Poison	Rules Cyclopedia	233	SRD	Dark Dungeons Deluxe
Potion, Polymorph Self	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Sight	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Speech	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Speed	Rules Cyclopedia	233		Dark Dungeons Deluxe
Potion, Strength	Rules Cyclopedia	234		Dark Dungeons Deluxe
Potion, Super-Healing	Rules Cyclopedia	234		Dark Dungeons Deluxe
Potion, Swimming	Rules Cyclopedia	234		Dark Dungeons Deluxe
Potion, Treasure Finding	Rules Cyclopedia	234		Dark Dungeons Deluxe
Potion, Undead Control	Rules Cyclopedia	234		Dark Dungeons Deluxe
Potion, Water Adaptation	X7 War Rafts of Kron	32		
Potion, Water Breathing	Rules Cyclopedia	234		Dark Dungeons Deluxe
Pouch, Devouring	AC4 The Book of Marvelous Magic	57		
Pouch, Eyes	AC4 The Book of Marvelous Magic	57		
Pouch, Kangaroo	AC4 The Book of Marvelous Magic	57		
Pouch, Plenty	AC4 The Book of Marvelous Magic	57		
Pouch, Security	Rules Cyclopedia	241		Dark Dungeons Deluxe
Pouch, Traveling	AC4 The Book of Marvelous Magic	57		
Pouch, Winds	Champions of Mystara: Designer's Manual, GAZ9 The Minrothad Guilds - Dungeon Master's Booklet	55		
Powder, Oak-in-Acorn	HWA3 Nightstorm	63		
Quill, Copying	Rules Cyclopedia	241		Dark Dungeons Deluxe
Quill, Erasing	AC4 The Book of Marvelous Magic	58		
Quill, FOrgery	AC4 The Book of Marvelous Magic	58		
Quill, Necromancy	AC4 The Book of Marvelous Magic	58		
Quill, Porcupine	AC4 The Book of Marvelous Magic	58		
Quill, Scribbling	AC4 The Book of Marvelous Magic	58		
Quill, Transcription	AC4 The Book of Marvelous Magic	58		
Rabbit's Foot	AC4 The Book of Marvelous Magic	59		
Rake, Climbing	AC4 The Book of Marvelous Magic	59		
Rake, Retrieval	AC4 The Book of Marvelous Magic	59		
Rake, Ship	AC4 The Book of Marvelous Magic	59		
Rake, Smoothing	AC4 The Book of Marvelous Magic	59		
Rake, Tracking	AC4 The Book of Marvelous Magic	59		
Rattle, Death	AC4 The Book of Marvelous Magic	59		
Rattle, Shaking and Rolling	Polyhedron #23	23		
Rattle, Summoning	AC4 The Book of Marvelous Magic	59		
Rattle, Youth	AC4 The Book of Marvelous Magic	59		
Ring, Al-Kalim's Gold Seal	GAZ2 The Emirates of Ylaruam	60		
Ring, Animal Control	Rules Cyclopedia	237	SRD (Ring of Animal Friendship)	Dark Dungeons Deluxe
Ring, Arachnid Control	Dungeon #24	19		
Ring, Cat's Eye	Rage of the Rakasta	12		
Ring, Delusion	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Djinni Summoning	Rules Cyclopedia	238	SRD (Ring of Djinni Calling)	Dark Dungeons Deluxe
Ring, Ear	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Elemental Adaptation	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Fire Resistance	Rules Cyclopedia	238	SRD (Ring of Energy Resistance)	Dark Dungeons Deluxe
Ring, Holiness	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Human Control	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Invisibility	Rules Cyclopedia	238	SRD	Dark Dungeons Deluxe
Ring, Life Protection	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Memory	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Nine Svartalven	GAZ7 The Northern Reaches: DM Book	28		
Ring, Plant Control	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Protection	Rules Cyclopedia	238	SRD	Dark Dungeons Deluxe
Ring, Quickness	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Regeneration	Rules Cyclopedia	238	SRD	Dark Dungeons Deluxe
Ring, Remedies	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Safety	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Seeing	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Spell Eating	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Spell Storing	Rules Cyclopedia	238	SRD	Dark Dungeons Deluxe
Ring, Spell Turning	Rules Cyclopedia	238	SRD	Dark Dungeons Deluxe
Ring, Survival	Rules Cyclopedia	238	SRD (Ring of Sustenance)	Dark Dungeons Deluxe
Ring, Telekinesis	Rules Cyclopedia	238	SRD	Dark Dungeons Deluxe
Ring, Teleportation	GM2 Find the Lady	43		
Ring, Thruthfulness	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Truth	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Truthlessness	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, Water Walking	Rules Cyclopedia	238	SRD	Dark Dungeons Deluxe
Ring, Weakness	Rules Cyclopedia	238		Dark Dungeons Deluxe
Ring, X-ray Vision	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe
Rings, Servitude	X11 Saga of the Shadow Lord			
Rod, Cancellation	Rules Cyclopedia	237	SRD	Dark Dungeons Deluxe
Rod, Dominion	Rules Cyclopedia	237		Dark Dungeons Deluxe
Rod, Health	Rules Cyclopedia	237		Dark Dungeons Deluxe
Rod, Inertia	Rules Cyclopedia	237		Dark Dungeons Deluxe
Rod, Moto Moto of Beguiling	Champions of Mystara: Explorer's Manual	64		
Rod, Moto Moto of Concealment	Champions of Mystara: Explorer's Manual	64		
Rod, Moto Moto of Strength	Champions of Mystara: Explorer's Manual	64		
Rod, Moto Moto of Thunder Compliance	Champions of Mystara: Explorer's Manual	64		
Rod, Parrying	Rules Cyclopedia	237		Dark Dungeons Deluxe
Rod, Victory	Rules Cyclopedia	237		Dark Dungeons Deluxe
Rod, Weaponry	Rules Cyclopedia	237		Dark Dungeons Deluxe
Rod, Wyrm	Rules Cyclopedia	237		Dark Dungeons Deluxe
Rope, Climbing	Rules Cyclopedia	241		Dark Dungeons Deluxe
Rudder, Guidance	AC4 The Book of Marvelous Magic	60		
Saddlebags, Magic	GAZ2 The Emirates of Ylaruam	59		
Saw, Snoring	AC4 The Book of Marvelous Magic	60		
Scarab, Protection	Rules Cyclopedia	241	SRD	Dark Dungeons Deluxe
Scepter, Light	AC4 The Book of Marvelous Magic	60		
Scepter, Power	AC4 The Book of Marvelous Magic	60		
Scepter, Truth	Assault on Ravens Ruin	16		
Scroll, Communication	Rules Cyclopedia	234		Dark Dungeons Deluxe
Scroll, Creation	Rules Cyclopedia	234		Dark Dungeons Deluxe
Scroll, Cursed	Rules Cyclopedia	234		Dark Dungeons Deluxe (Curse)
Scroll, Delay	Rules Cyclopedia	234		Dark Dungeons Deluxe
Scroll, Equipment	Rules Cyclopedia	234		Dark Dungeons Deluxe
Scroll, Illumination	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Mages	Rules Cyclopedia	235		Dark Dungeons Deluxe (Wizard's)
Scroll, Mapping	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Maps to Treasures	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Portals	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Protection, Elementals	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Protection, Lycanthropes	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Protection, Magic	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Protection, Undead	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Questioning	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Repitition	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Seeing	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Shelter	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Spell Catching	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Spells	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Trapping	Rules Cyclopedia	235		Dark Dungeons Deluxe
Scroll, Truth	Rules Cyclopedia	235		Dark Dungeons Deluxe
Seeds, Growth	AC4 The Book of Marvelous Magic	60		
Self-Lighting Pipe	AC4 The Book of Marvelous Magic	55		
Shield, Olynthos	HWQ1 The Milenian Scepter	50		
Ship, Semekhtet-Barge	HWA2 Nightrage	62		
Shoe, White Bronze	PC1 Tall Tales of the Wee Folk - DM's Booklet	60		
Shovel, Animation	AC4 The Book of Marvelous Magic	60		
Shovel, DIgging	AC4 The Book of Marvelous Magic	60		
Shovel, Gravedigging	AC4 The Book of Marvelous Magic	60		
Shovel, Internment	AC4 The Book of Marvelous Magic	61		
Skyhooks, Glitterlode's Blessed	PC2 Top Ballista - DM's Booklet	40		
Slate, Identification	Rules Cyclopedia	241		Dark Dungeons Deluxe
Slippers, Drinking	AC4 The Book of Marvelous Magic	61		
Slippers, Glass	AC4 The Book of Marvelous Magic	61		
Slippers, Ruby	AC4 The Book of Marvelous Magic	61		
Snuffer, Death	AC4 The Book of Marvelous Magic	61		
Snuffer, Dousing	AC4 The Book of Marvelous Magic	61		
Snuffer, Exploding	AC4 The Book of Marvelous Magic	61		
Snuffer, Serving	AC4 The Book of Marvelous Magic	61		
Snuffer, Transference	AC4 The Book of Marvelous Magic	61		
Soap, Abrasion	AC4 The Book of Marvelous Magic	61		
Soap, Washing	AC4 The Book of Marvelous Magic	61		
Spear, Giant-Slaying	GAZ7 The Northern Reaches: DM Book	28		
Spear, Obliteration	HWR3 The Milenian Empire: Campaign Book	32		
Spear, Returning	X7 War Rafts of Kron	32		
Spear, Sparkling	GAZ2 The Emirates of Ylaruam	59		
Spear, Vix	HWQ1 The Milenian Scepter	50		
Spinning Wheel	AC4 The Book of Marvelous Magic	61		
Spoon, Birth	AC4 The Book of Marvelous Magic	62		
Spoon, Medication	AC4 The Book of Marvelous Magic	62		
Spoon, Musical	AC4 The Book of Marvelous Magic	62		
Spoon, Sugar	AC4 The Book of Marvelous Magic	62		
Spoong, Sticking	AC4 The Book of Marvelous Magic	62		
Spyglass	Champions of Mystara: Designer's Manual	55		
Staff, Commanding	Rules Cyclopedia	236		Dark Dungeons Deluxe
Staff, Dispelling	Rules Cyclopedia	236		Dark Dungeons Deluxe
Staff, Druids	Rules Cyclopedia	236		Dark Dungeons Deluxe
Staff, Element	Rules Cyclopedia	236		Dark Dungeons Deluxe
Staff, Harming	Rules Cyclopedia	236		Dark Dungeons Deluxe
Staff, Healing	Rules Cyclopedia	236	SRD	Dark Dungeons Deluxe
Staff, Power	Rules Cyclopedia	237	SRD	Dark Dungeons Deluxe
Staff, Recording	AC8 3-D Dragon Tiles featuring The Revenge of Rusak	7		
Staff, Snake	Rules Cyclopedia	237		Dark Dungeons Deluxe
Staff, Striking	Rules Cyclopedia	237		Dark Dungeons Deluxe
Staff, Withering	Rules Cyclopedia	237		Dark Dungeons Deluxe
Staff, Wizardry	Rules Cyclopedia	237		Dark Dungeons Deluxe
Stair, Ascending	AC4 The Book of Marvelous Magic	62		
Stair, Breaking	AC4 The Book of Marvelous Magic	62		
Stair, Cold	AC4 The Book of Marvelous Magic	62		
Stair, Descending	AC4 The Book of Marvelous Magic	62		
Stair, Judgment	AC4 The Book of Marvelous Magic	62		
Stair, Slipping	AC4 The Book of Marvelous Magic	63		
Stocking, Elf Summoning	Polyhedron #23	23		
Stocking, Mystery	Polyhedron #23	23		
Stone, Controlling Earth Elementals	Rules Cyclopedia	241	SRD	Dark Dungeons Deluxe (Stone of Earth Elementals)
String, Attachment	AC4 The Book of Marvelous Magic	63		
String, Lashing	AC4 The Book of Marvelous Magic	63		
String, Pearls	AC4 The Book of Marvelous Magic	63		
String, Shackles	AC4 The Book of Marvelous Magic	63		
String, Tangle	AC4 The Book of Marvelous Magic	63		
String, Warding	AC4 The Book of Marvelous Magic	63		
Suit, Shade	Rage of the Rakasta	12		
Sundial, Timekeeping	AC4 The Book of Marvelous Magic	63		
Sword, Blackflame	GAZ8 The Five Shires: Dungeon Masters Booklet	20		
Sword, Elven Long	GAZ5 The Elves of Alfheim	33		
Sword, Olynthos	HWQ1 The Milenian Scepter	51		
Sword, Spartusia	B3 Palace of the Silver Princess (1st Printing)	29		
Table, Banquets	AC4 The Book of Marvelous Magic	64		
Table, Contents	AC4 The Book of Marvelous Magic	64		
Table, Elements	AC4 The Book of Marvelous Magic	64		
Table, Plenty	AC4 The Book of Marvelous Magic	64		
Table, Writing	AC4 The Book of Marvelous Magic	64		
Tail, Guardian	HWR2 Kingdom of Nithia: DM's Tome	34		
Talisman, Chimera	HWR3 The Milenian Empire: Campaign Book	32		
Talisman, Cockatrice	HWR3 The Milenian Empire: Campaign Book	32		
Talisman, Elemental Travel	Rules Cyclopedia	241		Dark Dungeons Deluxe (Talisman of Travel)
Talisman, Faerie	HWR3 The Milenian Empire: Campaign Book	32		
Talisman, Golem	HWR3 The Milenian Empire: Campaign Book	32		
Talisman, Statue	HWQ1 The Milenian Scepter	51		
Tarts, Accusation	Polyhedron #23	23		
Tarts, Enticement	Polyhedron #23	23		
Tarts, Summer Day	Polyhedron #23	23		
Teas, Magical	Rage of the Rakasta	12		
Teddy Bear, Rolsnit	PC2 Top Ballista - DM's Booklet	14		
Tent, Captivity	AC4 The Book of Marvelous Magic	65		
Tent, Dew	AC4 The Book of Marvelous Magic	64		
Tent, Luxury	AC4 The Book of Marvelous Magic	65		
Tent, Polychromatic	AC4 The Book of Marvelous Magic	65		
Tent, Poor	AC4 The Book of Marvelous Magic	65		
Tent, Standing	AC4 The Book of Marvelous Magic	65		
Tent, Warning	AC4 The Book of Marvelous Magic	65		
Tent, X-	AC4 The Book of Marvelous Magic	65		
Thread, Aging	AC4 The Book of Marvelous Magic	65		
Thread, Commands	AC4 The Book of Marvelous Magic	65		
Thread, Embroidery	AC4 The Book of Marvelous Magic	65		
Throne, Death	AC4 The Book of Marvelous Magic	66		
Throne, Incineration	AC4 The Book of Marvelous Magic	66		
Throne, Power	AC4 The Book of Marvelous Magic	66		
Throne, Summoning	AC4 The Book of Marvelous Magic	66		
Throne, Transformation	X13 Crown of Ancient Glory	61		
Tome, Binding Souls	Dungeon #27	19		
Tome, Translation	AC4 The Book of Marvelous Magic	66		
Treatise, Tedium	AC4 The Book of Marvelous Magic	66		
Tub, Fat	AC4 The Book of Marvelous Magic	67		
Tub, Lard	AC4 The Book of Marvelous Magic	67		
Tub, Sailing	AC4 The Book of Marvelous Magic	67		
Tub, Washing	AC4 The Book of Marvelous Magic	67		
Tun, Ale	AC4 The Book of Marvelous Magic	67		
Tun, Curse Ale	AC4 The Book of Marvelous Magic	67		
Tunic, Magic	GAZ2 The Emirates of Ylaruam	59		
Urn, Ashes	AC4 The Book of Marvelous Magic	68		
Urn, Awakening	AC4 The Book of Marvelous Magic	68		
Urn, Curses	AC4 The Book of Marvelous Magic	68		
Vessel, Hover	HWR2 Kingdom of Nithia: DM's Tome	35		
Vest, Attraction	AC4 The Book of Marvelous Magic	68		
Vest, Missile Protection	AC4 The Book of Marvelous Magic	68		
Vial, Durance	HWA2 Nightrage	63		
Violin Rack	Polyhedron #23	23		
Wand, Cold	Rules Cyclopedia	236		Dark Dungeons Deluxe
Wand, Enemy Detection	Rules Cyclopedia	236		Dark Dungeons Deluxe
Wand, Fear	Rules Cyclopedia	236		Dark Dungeons Deluxe
Wand, Fireballs	Rules Cyclopedia	236		Dark Dungeons Deluxe
Wand, Gremlin	PC2 Top Ballista - DM's Booklet	40		
Wand, Illusion	Rules Cyclopedia	236		Dark Dungeons Deluxe
Wand, Light	B3 Palace of the Silver Princess (1st Printing)	29		
Wand, Lightning Bolts	Rules Cyclopedia	236		Dark Dungeons Deluxe
Wand, Magic Detection	Rules Cyclopedia	236		Dark Dungeons Deluxe
Wand, Metal Detection	Rules Cyclopedia	236		Dark Dungeons Deluxe
Wand, Negation	Rules Cyclopedia	236		Dark Dungeons Deluxe
Wand, Paralyzation	Rules Cyclopedia	236		Dark Dungeons Deluxe
Wand, Polymorphing	Rules Cyclopedia	236		Dark Dungeons Deluxe
Wand, Secret Door Detection	Rules Cyclopedia	236		Dark Dungeons Deluxe
Wand, Trap Detection	Rules Cyclopedia	236		Dark Dungeons Deluxe
Watcher's Eyes	Imagine #24	32		
Wax Sealing	AC4 The Book of Marvelous Magic	69		
Wax, Careful Hearing	AC4 The Book of Marvelous Magic	69		
Wax, Ceiling	AC4 The Book of Marvelous Magic	69		
Wax, Fabrication	AC4 The Book of Marvelous Magic	69		
Wax, Hearing	AC4 The Book of Marvelous Magic	69		
Wax, Waning	AC4 The Book of Marvelous Magic	69		
Weapon, Biting	Rules Cyclopedia	243		Dark Dungeons Deluxe
Weapon, Disarming	Rules Cyclopedia	243		Dark Dungeons Deluxe
Weapon, Dispelling	Rules Cyclopedia	243		Dark Dungeons Deluxe
Weapon, Flying	Rules Cyclopedia	243/248		Dark Dungeons Deluxe
Weapon, Screaming	Rules Cyclopedia	243		Dark Dungeons Deluxe
Weapon, Seeking	Rules Cyclopedia	243		Dark Dungeons Deluxe
Weapon, Slaying	Rules Cyclopedia	243		Dark Dungeons Deluxe
Weapon, Speaking	Rules Cyclopedia	244		Dark Dungeons Deluxe
Weapon, Stunning	Rules Cyclopedia	244		Dark Dungeons Deluxe
Weapon, Teleporting	Rules Cyclopedia	244		Dark Dungeons Deluxe
Wheel, Burning	AC4 The Book of Marvelous Magic	70		
Wheel, Fairy's	AC4 The Book of Marvelous Magic	69		
Wheel, Floating	Rules Cyclopedia	241		Dark Dungeons Deluxe
Wheel, Fortune	Rules Cyclopedia	241		Dark Dungeons Deluxe (Square Wheel)
Wheel, Hasty	AC4 The Book of Marvelous Magic	69		
Wheel, Lighting	AC4 The Book of Marvelous Magic	70		
Wheel, Misfortune	AC4 The Book of Marvelous Magic	70		
Wheel, Square	Set #3: Companion Rules: Book #2: Dungeon Masters Companion	55		
Whistle, Deafness	AC4 The Book of Marvelous Magic	71		
Whistle, Stopping	AC4 The Book of Marvelous Magic	71		
Whistle, Summoning	AC4 The Book of Marvelous Magic	71		
Whistle, Training	AC4 The Book of Marvelous Magic	71		
Wind Whisper	PC4 Night Howlers - DM's Guide	63		
Window, Display	AC4 The Book of Marvelous Magic	71		
Window, Dressing	AC4 The Book of Marvelous Magic	71		
